mac_id,sensor_label,timestamp,value
925056043,co2,2026-01-31 01:49:55.824000+03:00,0.45
925056043,co2,2026-01-31 01:48:48.899000+03:00,0.49
925056043,co2,2026-01-31 01:47:38+03:00,0.12
925056043,co2,2026-01-31 01:46:55.573000+03:00,0.71
925056043,co2,2026-01-31 01:45:23+03:00,0.51
925056043,co2,2026-01-31 01:42:50.079000+03:00,0.71
925056043,co2,2026-01-31 01:41:30.189000+03:00,0.55
925056043,co2,2026-01-31 01:40:24.329000+03:00,0.16
925056043,co2,2026-01-31 01:39:48.549000+03:00,0.39
925056043,co2,2026-01-31 01:35:34.851000+03:00,0.3
925056043,co2,2026-01-31 01:34:15.316000+03:00,0.34
925056043,co2,2026-01-31 01:33:08.138000+03:00,0.61
925056043,co2,2026-01-31 01:32:15.146000+03:00,0.81
925056043,co2,2026-01-31 01:30:53+03:00,0.18
925056043,co2,2026-01-31 01:30:09.783000+03:00,0.81
925056043,co2,2026-01-31 01:29:20.459000+03:00,0.38
925056043,co2,2026-01-31 01:28:00.357000+03:00,0.09
925056043,co2,2026-01-31 01:26:52.936000+03:00,0.51
925056043,co2,2026-01-31 01:25:59.756000+03:00,0.47
925056043,co2,2026-01-31 01:24:37+03:00,0.55
925056043,co2,2026-01-31 01:23:54.260000+03:00,0.13
925056043,co2,2026-01-31 01:22:22+03:00,0.09
925056043,co2,2026-01-31 01:21:25.264000+03:00,0.34
925056043,co2,2026-01-31 01:20:36.061000+03:00,0.26
925056043,co2,2026-01-31 01:19:07+03:00,0.43
925056043,co2,2026-01-31 01:17:52.093000+03:00,0.75
925056043,co2,2026-01-31 01:17:13.652000+03:00,0.75
925056043,co2,2026-01-31 01:16:52+03:00,0.75
925056043,co2,2026-01-31 01:15:54.823000+03:00,0.5
925056043,co2,2026-01-31 01:14:47.805000+03:00,0.35
925056043,co2,2026-01-31 01:13:37+03:00,0.49
925056043,co2,2026-01-31 01:12:54.438000+03:00,0.27
925056043,co2,2026-01-31 01:11:21+03:00,0.23
925056043,co2,2026-01-31 01:10:02.918000+03:00,0.34
925056043,co2,2026-01-31 01:08:49.161000+03:00,0.35
925056043,co2,2026-01-31 01:07:29.301000+03:00,0.47
925056043,co2,2026-01-31 01:06:23.424000+03:00,0.51
925056043,co2,2026-01-31 01:05:47.633000+03:00,0.51
925056043,co2,2026-01-31 01:01:33.384000+03:00,0.67
925056043,co2,2026-01-31 01:00:13.156000+03:00,0.25
925056043,co2,2026-01-31 00:59:05.893000+03:00,0.44
925056043,co2,2026-01-31 00:58:12.818000+03:00,0.7
925056043,co2,2026-01-31 00:56:51+03:00,0.17
925056043,co2,2026-01-31 00:56:07.748000+03:00,0.27
925056043,co2,2026-01-31 00:55:18.379000+03:00,0.53
925056043,co2,2026-01-31 00:53:58.252000+03:00,0.41
925056043,co2,2026-01-31 00:52:50.675000+03:00,0.78
925056043,co2,2026-01-31 00:51:57.442000+03:00,0.5
925056043,co2,2026-01-31 00:50:36+03:00,0.47
925056043,co2,2026-01-31 00:49:52.194000+03:00,0.34
925056043,co2,2026-01-31 00:49:02.913000+03:00,0.54
925056043,co2,2026-01-31 00:47:42.755000+03:00,0.44
925056043,co2,2026-01-31 00:46:35.587000+03:00,0.34
925056043,co2,2026-01-31 00:45:42.599000+03:00,0.6
925056043,co2,2026-01-31 00:44:21+03:00,0.33
925056043,co2,2026-01-31 00:43:37.311000+03:00,0.52
925056043,co2,2026-01-31 00:42:47.919000+03:00,0.16
925056043,co2,2026-01-31 00:41:27.843000+03:00,0.73
925056043,co2,2026-01-31 00:40:20.468000+03:00,0.45
925056043,co2,2026-01-31 00:39:47.709000+03:00,0.41
925056043,co2,2026-01-31 00:38:27.667000+03:00,0.33
925056043,co2,2026-01-31 00:37:22.032000+03:00,0.23
925056043,co2,2026-01-31 00:37:01.472000+03:00,0.5
925056043,co2,2026-01-31 00:33:37.174000+03:00,0.46
925056043,co2,2026-01-31 00:32:16.912000+03:00,0.32
925056043,co2,2026-01-31 00:31:04.812000+03:00,0.48
925056043,co2,2026-01-31 00:30:21.690000+03:00,0.21
925056043,co2,2026-01-31 00:28:49.743000+03:00,0.24
925056043,co2,2026-01-31 00:27:50+03:00,0.82
925056043,co2,2026-01-31 00:26:14.181000+03:00,0.34
925056043,co2,2026-01-31 00:23:19.383000+03:00,0.5
925056043,co2,2026-01-31 00:22:20+03:00,0.67
925056043,co2,2026-01-31 00:21:36.306000+03:00,0.25
925056043,co2,2026-01-31 00:20:46.853000+03:00,0.44
925056043,co2,2026-01-31 00:19:26.711000+03:00,0.21
925056043,co2,2026-01-31 00:18:19.234000+03:00,0.11
925056043,co2,2026-01-31 00:17:26.034000+03:00,0.4
